delta,pctl
54.6427,0.9864806
54.6419,0.9870141
54.6403,0.9872809
54.63977,0.9880811
54.6371,0.9883479
54.6355,0.9907487
54.62563,0.9947502
54.61469,1.000352
54.59869,1.016891
54.5448,1.028095
54.51332,1.044101
54.46264,1.070243
54.37354,1.07051
54.373,1.070777
54.37194,1.071044
54.37141,1.07131
54.37114,1.071577
54.37087,1.072377
54.369,1.072644
54.36821,1.073178
54.36687,1.074245
54.365,1.07878
54.35247,1.081714
54.34473,1.086516
54.32899,1.101988
54.27484,1.112658
54.24229,1.132665
54.18867,1.162276
54.10064,1.162543
54.09984,1.162809
54.09878,1.163076
54.09824,1.163343
54.09798,1.163876
54.09584,1.164143
54.09478,1.16441
54.09424,1.164943
54.09264,1.165744
54.09051,1.170012
54.07877,1.172679
54.06997,1.178281
54.05556,1.195087
54.00034,1.207625
53.9694,1.227365
53.90911,1.255909
53.82375,1.256176
53.82214,1.256976
53.81948,1.257509
53.81815,1.260444
53.80854,1.262044
53.80427,1.263912
53.7952,1.270847
53.7808,1.288987
53.71731,1.301258
53.68343,1.325
53.62021,1.352476
53.51857,1.352743
53.5167,1.353276
53.5151,1.354343
53.51244,1.354877
53.50977,1.358078
53.4999,1.359679
53.4959,1.364747
53.48176,1.372216
53.46228,1.392223
53.4028,1.403961
53.36465,1.423701
53.29956,1.453578
53.19286,1.453845
53.19206,1.454112
53.19126,1.454645
53.18752,1.455712
53.18592,1.460247
53.17338,1.462115
53.16751,1.46665
53.15364,1.475186
53.13444,1.498928
53.06401,1.5152
53.02293,1.534407
52.95891,1.568285
52.8498,1.568552
52.84847,1.569086
52.84793,1.569619
52.84687,1.570153
52.84607,1.570419
52.84554,1.570686
52.84527,1.570953
52.8442,1.571753
52.84047,1.57202
52.83966,1.576555
52.82713,1.577622
52.82153,1.583757
52.80952,1.588826
52.79565,1.6091
52.72923,1.623772
52.68921,1.646713
52.61985,1.683526
52.50381,1.683793
52.50355,1.684059
52.50328,1.684326
52.50248,1.684593
52.50195,1.68486
52.50168,1.685126
52.50088,1.685393
52.50061,1.68646
52.49688,1.686727
52.49608,1.687794
52.49395,1.692596
52.47874,1.69473
52.47154,1.699532
52.45686,1.71447
52.39204,1.72354
52.36483,1.735811
52.32001,1.759019
52.25066,1.793165
52.12181,1.793431
52.12101,1.793698
52.12075,1.793965
52.11995,1.794232
52.11835,1.794498
52.11755,1.795832
52.11461,1.796099
52.11301,1.796632
52.11248,1.796899
52.11088,1.799567
52.09834,1.802234
52.0914,1.807303
52.07647,1.828644
52.00844,1.839848
51.97723,1.852652
51.93455,1.880662
51.85559,1.916941
51.74088,1.917208
51.74008,1.917475
51.73954,1.917742
51.73928,1.918008
51.73795,1.919609
51.73475,1.920943
51.73288,1.921743
51.73207,1.92201
51.73074,1.925211
51.7174,1.927345
51.711,1.932414
51.6958,1.95162
51.62644,1.960957
51.59763,1.971894
51.56161,1.996436
51.49173,2.035917
51.35941,2.036183
51.35915,2.03645
51.35861,2.036717
51.35835,2.036984
51.35514,2.037517
51.35381,2.037784
51.35328,2.039651
51.35114,2.040185
51.35034,2.040718
51.34954,2.041252
51.34768,2.04632
51.3322,2.048988
51.32153,2.054323
51.30553,2.070329
51.24231,2.079132
51.21696,2.095137
51.17348,2.122614
51.09078,2.166096
50.9494,2.166629
50.94833,2.166896
50.9478,2.16823
50.94513,2.168497
50.94353,2.168763
50.943,2.169297
50.9382,2.169564
50.9366,2.170097
50.93446,2.177833
50.91685,2.181034
50.90699,2.187437
50.88751,2.20611
50.81815,2.219981
50.78214,2.23412
50.73733,2.257061
50.6613,2.301077
50.51831,2.301343
50.51565,2.30161
50.51431,2.303211
50.51058,2.303477
50.50925,2.308279
50.49351,2.311214
50.4855,2.314415
50.47643,2.320283
50.45696,2.345626
50.3844,2.355763
50.35479,2.373902
50.30091,2.399778
50.22808,2.449129
50.07843,2.449396
50.0771,2.449929
50.07416,2.450729
50.07203,2.451796
50.07016,2.452597
50.06829,2.455798
50.05575,2.457398
50.04962,2.460866
50.04081,2.467002
50.02161,2.490743
49.93598,2.502748
49.90157,2.522221
49.84955,2.552098
49.76579,2.600382
