pctl,wpm60,wpm15,mult,gap
89.5,45,61.54,1.367556,16.54
90,44.4,60.76,1.368468,16.36
90.5,43.8,59.96,1.36895,16.16
91,43.19,59.16,1.369762,15.97
91.5,42.59,58.36,1.370275,15.77
92,41.8,57.55,1.376794,15.75
92.5,41.2,56,1.359223,14.8
93,40.59,55.2,1.359941,14.61
93.5,39.8,54.39,1.366583,14.59
94,39,53.56,1.373333,14.56
94.5,38.19,52,1.361613,13.81
95,37.2,51.18,1.375806,13.98
95.5,36.39,49.6,1.363012,13.21
96,35.2,48.77,1.385511,13.57
96.5,34.19,47.18,1.379936,12.99
97,32.99,45.58,1.381631,12.59
97.5,31.59,43.96,1.39158,12.37
98,30,41.58,1.386,11.58
98.5,28,39.17,1.398929,11.17
99,25.4,35.2,1.385827,9.800001
99.5,21.4,30.38,1.419626,8.98
100,0.6,2.39,3.983333,1.79
