consistency,pctl
100,0.0002667606
97.75,0.0005335211
97.49,0.001333803
97.19,0.001600563
96.96,0.001867324
96.91,0.002134085
96.78,0.002400845
96.77,0.002667606
96.68,0.003201127
96.67,0.003467887
96.55,0.005601972
96.35,0.006135493
96.34,0.006402254
96.3,0.006935775
96.1,0.007202535
96.08,0.007469296
96.03,0.007736056
96.02,0.008002817
96,0.008269578
95.97,0.008536338
95.96,0.009069859
95.92,0.009870141
95.91,0.0101369
95.9,0.01040366
95.89,0.01067042
95.88,0.01173746
95.84,0.01227099
95.82,0.01253775
95.78,0.01280451
95.77,0.01333803
95.73,0.01360479
95.7,0.01387155
95.65,0.01440507
95.61,0.01547211
95.58,0.01627239
95.55,0.0176062
95.54,0.01813972
95.52,0.01867324
95.5,0.01920676
95.49,0.01947352
95.46,0.02000704
95.44,0.0202738
95.43,0.02054056
95.41,0.02187437
95.39,0.02214113
95.38,0.02294141
95.37,0.02320817
95.36,0.02347493
95.31,0.02374169
95.3,0.02400845
95.29,0.02480873
95.26,0.02587577
95.25,0.02614254
95.23,0.02881014
95.2,0.02961042
95.17,0.0304107
95.16,0.03094423
95.15,0.03174451
95.13,0.03227803
95.12,0.03387859
95.11,0.03441211
95.1,0.03467887
95.08,0.03547916
95.07,0.03707972
95.05,0.03841352
95.04,0.03948056
94.99,0.04054761
94.95,0.04188141
94.94,0.04348197
94.92,0.04428225
94.91,0.04641634
94.9,0.0480169
94.88,0.04881718
94.87,0.04961747
94.86,0.05015099
94.84,0.05175155
94.83,0.05201831
94.82,0.05308535
94.81,0.05388563
94.8,0.05441916
94.79,0.05521944
94.78,0.05682
94.77,0.05895409
94.76,0.06242197
94.75,0.0642893
94.74,0.06508958
94.73,0.06962451
94.71,0.06989127
94.7,0.07015803
94.69,0.07282563
94.68,0.0730924
94.67,0.07469296
94.66,0.07682704
94.65,0.07896113
94.64,0.08082845
94.63,0.08109521
94.62,0.08136197
94.61,0.08216225
94.59,0.08269578
94.58,0.08402958
94.57,0.08509662
94.56,0.08643042
94.54,0.08723071
94.53,0.08883127
94.52,0.0920324
94.51,0.09229916
94.5,0.09256592
94.49,0.09309944
94.48,0.09443324
94.47,0.09550028
94.46,0.1000352
94.45,0.101369
94.44,0.1021693
94.43,0.1032363
94.42,0.1040366
94.41,0.1112392
94.39,0.1115059
94.38,0.1131065
94.37,0.1149738
94.36,0.1152406
94.35,0.1171079
94.34,0.1173746
94.33,0.1197755
94.31,0.1221763
94.3,0.126978
94.29,0.1275116
94.28,0.1285786
94.27,0.1296456
94.26,0.1328468
94.25,0.1357811
94.24,0.1376485
94.23,0.1432504
94.22,0.1435172
94.21,0.1456513
94.19,0.1483189
94.18,0.1496527
94.17,0.1547211
94.16,0.1552546
94.15,0.1565885
94.14,0.1589893
94.13,0.1613901
94.12,0.1653916
94.11,0.1699265
94.09,0.1749949
94.08,0.1811304
94.07,0.1821975
94.05,0.1851318
94.04,0.1859321
94.03,0.1885997
94.02,0.1928679
94.01,0.1958023
94,0.196069
93.98,0.1971361
93.97,0.2011375
93.96,0.2014042
93.95,0.2086068
93.94,0.2115411
93.93,0.2128749
93.92,0.2136752
93.91,0.2187437
93.9,0.2214113
93.89,0.2235454
93.87,0.2302144
93.86,0.2400845
93.85,0.2443527
93.84,0.2456865
93.83,0.2504882
93.82,0.2512885
93.81,0.2542228
93.8,0.2547563
93.79,0.2558234
93.78,0.2630259
93.77,0.2702285
93.76,0.2726293
93.74,0.2811656
93.73,0.2824994
93.72,0.2841
93.71,0.2862341
93.7,0.2873011
93.69,0.2905023
93.68,0.2947704
93.67,0.3011727
93.66,0.3070414
93.65,0.3123766
93.64,0.3171783
93.62,0.3203794
93.61,0.3249144
93.6,0.3406532
93.59,0.34092
93.58,0.3438544
93.57,0.3502566
93.56,0.3558586
93.55,0.3713307
93.54,0.3753321
93.53,0.3833349
93.51,0.3862693
93.5,0.3900039
93.49,0.3950724
93.48,0.3982735
93.47,0.4041423
93.46,0.4070766
93.45,0.4076101
93.44,0.4150794
93.43,0.4217485
93.42,0.4292178
93.41,0.4348197
93.4,0.4444231
93.39,0.45456
93.38,0.4665642
93.37,0.466831
93.36,0.4788352
93.34,0.4817696
93.33,0.4881718
93.32,0.4956411
93.31,0.4964414
93.3,0.5012431
93.28,0.5060448
93.27,0.5089792
93.26,0.5100462
93.25,0.5172487
93.24,0.5239178
93.23,0.5417907
93.22,0.542591
93.21,0.5471259
93.2,0.5527279
93.19,0.5540617
93.18,0.5604639
93.17,0.567133
93.16,0.5778034
93.15,0.5844724
93.14,0.5940758
93.13,0.5996778
93.12,0.6100814
93.11,0.6207518
93.1,0.6391583
93.09,0.6394251
93.08,0.6404921
93.07,0.6471611
93.06,0.657298
93.05,0.6578316
93.04,0.6727701
93.03,0.6813065
93.02,0.7005132
93.01,0.7055817
93,0.7154518
92.99,0.7173192
92.98,0.7237214
92.97,0.7389268
92.96,0.7391935
92.95,0.7525316
92.94,0.7762732
92.93,0.789878
92.92,0.8032161
92.91,0.8253572
92.9,0.8453642
92.89,0.8621702
92.88,0.8624369
92.87,0.8629704
92.86,0.8651045
92.85,0.8688392
92.84,0.8808434
92.83,0.8811102
92.82,0.8888462
92.81,0.8976493
92.8,0.8995166
92.79,0.9032513
92.78,0.9043183
92.77,0.9187234
92.76,0.9259259
92.75,0.9357961
92.74,0.9368631
92.73,0.9502011
92.72,0.9670071
92.71,0.9912823
92.7,1.005421
92.69,1.008888
92.67,1.01289
92.66,1.032363
92.65,1.03343
92.64,1.040099
92.62,1.047035
92.61,1.053971
92.6,1.069443
92.59,1.086249
92.58,1.119594
92.57,1.133999
92.56,1.149471
92.55,1.187885
92.54,1.19242
92.53,1.192953
92.52,1.199889
92.51,1.206291
92.5,1.227632
92.49,1.229499
92.48,1.255108
92.47,1.264712
92.46,1.266312
92.45,1.280984
92.44,1.291388
92.43,1.318331
92.42,1.365014
92.41,1.366881
92.4,1.374617
92.39,1.397559
92.38,1.397825
92.37,1.426102
92.36,1.455979
92.35,1.479988
92.34,1.480521
92.33,1.513866
92.32,1.529872
92.31,1.552813
92.3,1.575221
92.29,1.641911
92.28,1.643512
92.27,1.645646
92.26,1.655516
92.25,1.65765
92.24,1.660051
92.23,1.672322
92.22,1.700599
92.21,1.703266
92.2,1.720072
92.19,1.73181
92.18,1.737145
92.17,1.741413
92.16,1.76222
92.15,1.762754
92.14,1.77956
92.13,1.792097
92.12,1.796366
92.11,1.813705
92.1,1.815306
92.09,1.839047
92.08,1.851318
92.07,1.865723
92.06,1.891599
92.05,1.922543
92.04,1.947886
92.03,1.953754
92.02,1.965225
92.01,1.967893
92,1.96896
91.99,1.977763
91.98,1.983365
91.97,2.010841
91.96,2.017777
91.95,2.028714
91.94,2.058591
91.93,2.080732
91.92,2.10314
91.91,2.115945
91.9,2.135418
91.89,2.147156
91.88,2.164495
91.87,2.220515
91.86,2.242123
91.85,2.258128
91.84,2.313348
91.83,2.333355
91.82,2.341624
91.81,2.345626
91.8,2.354429
91.79,2.379504
91.78,2.424587
91.77,2.425387
91.76,2.44406
91.75,2.45313
91.74,2.464868
91.73,2.484608
91.72,2.521954
91.71,2.522221
91.7,2.570238
91.69,2.579841
91.68,2.62359
91.67,2.662537
91.66,2.694282
91.65,2.711088
91.64,2.728427
91.63,2.735096
91.61,2.780712
91.6,2.805521
91.59,2.847402
91.58,2.864475
91.57,2.885816
91.56,2.898354
91.55,2.968512
91.54,2.990119
91.53,3.013594
91.52,3.063745
91.51,3.098691
91.5,3.152043
91.49,3.20913
91.48,3.224868
91.47,3.233672
91.46,3.236606
91.45,3.237673
91.44,3.241408
91.43,3.269684
91.42,3.271285
91.41,3.311566
91.4,3.343043
91.39,3.364651
91.38,3.369986
91.37,3.385992
91.36,3.401731
91.35,3.440945
91.34,3.461752
91.33,3.486294
91.32,3.508168
91.31,3.522573
91.3,3.529776
91.29,3.536445
91.28,3.566322
91.27,3.60687
91.26,3.622608
91.25,3.653019
91.23,3.674894
91.22,3.695968
91.21,3.736782
91.2,3.74185
91.19,3.781598
91.18,3.824279
91.17,3.848288
91.16,3.892837
91.15,3.895238
91.14,3.947256
91.13,3.953925
91.12,3.981935
91.11,3.995807
91.1,4.02515
91.09,4.057161
91.08,4.075835
91.07,4.095308
91.06,4.139324
91.05,4.160931
91.04,4.220419
91.03,4.22282
91.02,4.249763
91.01,4.275905
91,4.290043
90.99,4.298046
90.98,4.320454
90.97,4.320721
90.96,4.380742
90.95,4.410086
90.94,4.433827
90.93,4.520525
90.92,4.578412
90.91,4.582146
90.9,4.606155
90.89,4.625095
90.88,4.661641
90.87,4.767812
90.86,4.793954
90.85,4.813428
90.84,4.895323
90.83,4.910795
90.82,4.911062
90.81,4.912396
90.8,4.951076
90.79,5.005495
90.78,5.057247
90.77,5.060181
90.76,5.068184
90.75,5.073786
90.74,5.089792
90.73,5.097261
90.72,5.161817
90.71,5.174088
90.7,5.231175
90.69,5.269321
90.68,5.296264
90.67,5.296531
90.66,5.392031
90.65,5.432045
90.64,5.499536
90.63,5.517409
90.62,5.519543
90.61,5.571828
90.6,5.587033
90.59,5.608908
90.58,5.694004
90.57,5.748957
90.56,5.801509
90.55,5.829519
90.54,5.869533
90.53,5.890607
90.52,5.938624
90.51,5.960231
90.5,5.981572
90.49,6.011983
90.48,6.056799
90.47,6.093878
90.46,6.121355
90.45,6.142696
90.44,6.196848
90.43,6.214454
90.42,6.247266
90.41,6.264872
90.4,6.30622
90.39,6.364107
90.38,6.473212
90.37,6.490018
90.36,6.490285
90.35,6.49562
90.34,6.557241
90.33,6.607926
90.32,6.688488
90.31,6.699692
90.3,6.729302
90.29,6.748509
90.28,6.846677
90.27,6.920836
90.26,6.923771
90.25,6.977656
90.24,7.000598
90.23,7.029941
90.22,7.127042
90.21,7.146249
90.2,7.14865
90.19,7.192132
90.18,7.192665
90.17,7.197734
90.16,7.199334
90.15,7.239348
90.14,7.240949
90.13,7.26229
90.12,7.332981
90.11,7.359391
90.1,7.426081
90.09,7.46236
90.08,7.508243
90.07,7.513045
90.06,7.573599
90.05,7.592006
90.04,7.643757
90.03,7.748327
90.02,7.768868
90.01,7.769935
90,7.832357
89.99,7.872104
89.98,7.948398
89.97,8.012154
89.96,8.094849
89.95,8.119925
89.94,8.123393
89.93,8.165274
89.92,8.22823
89.91,8.266643
89.9,8.3344
89.89,8.425899
89.88,8.464846
89.87,8.530203
89.86,8.549676
89.85,8.609164
89.84,8.6169
89.83,8.617967
89.82,8.633172
89.81,8.634239
89.8,8.636907
89.79,8.666784
89.78,8.728406
89.77,8.775889
89.76,8.836444
89.75,8.949817
89.74,8.997567
89.73,8.999701
89.72,9.040782
89.71,9.069859
89.7,9.098936
89.69,9.106405
89.68,9.153355
89.67,9.269396
89.66,9.295805
89.65,9.342755
89.64,9.446792
89.63,9.489474
89.62,9.530021
89.61,9.627656
89.6,9.680474
89.59,9.711685
89.58,9.757301
89.57,9.810653
89.56,9.835462
89.55,9.916824
89.54,9.984314
89.53,10.05661
89.52,10.10729
89.51,10.15904
89.5,10.21159
89.49,10.26228
89.48,10.31696
89.47,10.37592
89.46,10.47462
89.45,10.54745
89.44,10.55118
89.43,10.56692
89.42,10.60827
89.41,10.60853
89.4,10.63201
89.39,10.64001
89.38,10.69817
89.37,10.74805
89.36,10.77979
89.35,10.82301
89.34,10.84835
89.33,10.92758
89.32,10.96226
89.31,11.00387
89.3,11.05056
89.29,11.05643
89.28,11.06309
89.27,11.13645
89.26,11.19114
89.25,11.22502
89.24,11.27757
89.23,11.32852
89.22,11.38507
89.21,11.47391
89.2,11.57154
89.19,11.67878
89.18,11.73666
89.17,11.78335
89.16,11.79669
89.15,11.86738
89.14,11.91033
89.13,11.95888
89.12,12.01436
89.11,12.05304
89.09,12.14828
89.08,12.22724
89.07,12.23204
89.06,12.3054
89.05,12.37316
89.04,12.4105
89.03,12.49133
89.01,12.61111
89,12.72821
88.99,12.79891
88.98,12.84079
88.97,12.84132
88.96,12.92028
88.95,12.92081
88.94,12.93015
88.93,12.99071
88.92,13.04272
88.91,13.08114
88.9,13.13049
88.89,13.13902
88.88,13.19771
88.87,13.27694
88.86,13.30602
88.85,13.32202
88.84,13.36924
88.83,13.46847
88.82,13.5405
88.81,13.54103
88.8,13.54477
88.79,13.66214
88.78,13.66801
88.77,13.74644
88.76,13.81873
88.75,13.82353
88.74,13.86888
88.73,13.87555
88.72,13.95958
88.71,14.01293
88.7,14.13378
88.69,14.2869
88.68,14.38293
88.67,14.41281
88.66,14.51391
88.64,14.54112
88.63,14.5878
88.62,14.58807
88.61,14.63235
88.6,14.63795
88.59,14.69024
88.58,14.79427
88.57,14.87297
88.56,14.90338
88.55,14.90845
88.54,14.99888
88.53,15.07197
88.52,15.13973
88.51,15.19041
88.5,15.27684
88.49,15.37101
88.48,15.51159
88.47,15.5164
88.46,15.64017
88.45,15.72687
88.44,15.76555
88.43,15.8245
88.42,15.87706
88.41,15.89173
88.4,15.91333
88.39,15.92854
88.38,15.97389
88.37,15.97469
88.36,16.0163
88.35,16.04538
88.34,16.14915
88.33,16.23078
88.32,16.24518
88.31,16.29534
88.3,16.32921
88.29,16.37563
88.28,16.44205
88.27,16.46926
88.26,16.59544
88.25,16.63999
88.24,16.71468
88.23,16.72936
88.22,16.73629
88.21,16.80538
88.2,16.83179
88.19,16.86087
88.18,16.87101
88.17,16.95904
88.16,16.98331
88.15,17.09108
88.14,17.20366
88.13,17.20392
88.12,17.3333
88.11,17.45068
88.1,17.57925
88.09,17.65021
88.08,17.65902
88.07,17.66222
88.06,17.7017
88.05,17.74385
88.04,17.74465
88.03,17.78573
88.02,17.84201
88.01,17.88016
88,17.94232
87.99,18.02314
87.98,18.05782
87.97,18.15626
87.96,18.25016
87.95,18.29231
87.94,18.35419
87.93,18.4657
87.92,18.57
87.91,18.59801
87.9,18.64363
87.89,18.73833
87.88,18.87464
87.87,18.9464
87.86,19.05604
87.85,19.06351
87.84,19.19049
87.83,19.3276
87.82,19.37189
87.81,19.37269
87.8,19.41617
87.79,19.46712
87.78,19.46765
87.77,19.48899
87.76,19.53754
87.75,19.57436
87.74,19.66506
87.73,19.67066
87.72,19.7843
87.71,19.80884
87.7,19.86006
87.69,19.91848
87.68,19.99611
87.67,20.0652
87.66,20.14869
87.65,20.15136
87.64,20.17377
87.63,20.21752
87.62,20.23085
87.61,20.31595
87.6,20.39785
87.59,20.45413
87.58,20.51629
87.57,20.56244
87.56,20.59578
87.55,20.68248
87.54,20.73183
87.53,20.78038
87.52,20.81026
87.51,20.81239
87.5,20.92363
87.49,21.02527
87.48,21.02553
87.47,21.07408
87.46,21.08075
87.45,21.12477
87.44,21.29523
87.43,21.30883
87.42,21.43741
87.41,21.53585
87.4,21.5916
87.39,21.61454
87.38,21.62174
87.37,21.71885
87.36,21.74339
87.35,21.86263
87.34,21.89144
87.32,21.99041
87.31,21.99147
87.3,22.12405
87.29,22.1646
87.28,22.26277
87.27,22.28411
87.26,22.37854
87.25,22.57888
87.24,22.58102
87.23,22.66291
87.22,22.81576
87.21,22.85978
87.2,22.88752
87.19,22.97049
87.18,22.98489
87.17,23.05211
87.16,23.0988
87.15,23.14468
87.14,23.25965
87.13,23.31007
87.12,23.35489
87.1,23.59524
87.09,23.70434
87.08,23.70941
87.07,23.75156
87.06,23.83212
87.05,23.84173
87.04,23.88361
87.03,23.90388
87.02,23.99965
87.01,24.04713
87,24.08608
86.99,24.22239
86.98,24.26774
86.97,24.31976
86.96,24.39125
86.95,24.43714
86.94,24.50596
86.93,24.56305
86.92,24.59773
86.91,24.59799
86.9,24.67589
86.89,24.74284
86.88,24.76552
86.87,24.88289
86.86,24.92264
86.85,24.9912
86.84,25.01974
86.83,25.12378
86.82,25.22541
86.81,25.32011
86.8,25.33932
86.78,25.40388
86.77,25.40788
86.76,25.40814
86.75,25.53592
86.74,25.54926
86.73,25.59968
86.72,25.68451
86.71,25.78774
86.7,25.79575
86.69,25.83896
86.68,25.88458
86.67,25.89605
86.66,25.98968
86.65,26.00675
86.64,26.04677
86.63,26.19055
86.62,26.28712
86.61,26.38982
86.6,26.39329
86.59,26.49866
86.58,26.6099
86.57,26.64271
86.56,26.74408
86.55,26.79717
86.54,26.88947
86.53,26.93268
86.52,26.93641
86.51,27.00444
86.5,27.02231
86.49,27.12875
86.48,27.1685
86.47,27.29067
86.46,27.41045
86.45,27.51875
86.44,27.53903
86.43,27.55023
86.42,27.60278
86.41,27.70228
86.4,27.70869
86.39,27.93063
86.38,28.02587
86.37,28.028
86.36,28.08802
86.35,28.10963
86.34,28.14964
86.33,28.15018
86.32,28.19232
86.31,28.30516
86.3,28.31823
86.29,28.3193
86.28,28.4164
86.27,28.48603
86.26,28.60634
86.25,28.64528
86.24,28.70904
86.23,28.79494
86.22,28.91765
86.21,29.03635
86.2,29.13025
86.19,29.18307
86.18,29.22896
86.17,29.24843
86.16,29.36874
86.15,29.37194
86.14,29.4533
86.13,29.45784
86.12,29.47864
86.11,29.60215
86.1,29.69339
86.09,29.77581
86.08,29.85237
86.07,29.97882
86.06,29.99189
86.05,30.04124
86.04,30.17035
86.03,30.17782
86.02,30.24078
86.01,30.32481
86,30.32748
85.99,30.35175
85.98,30.44725
85.97,30.45339
85.96,30.49607
85.95,30.55982
85.94,30.58543
85.93,30.62038
85.92,30.65612
85.91,30.65879
85.9,30.74202
85.89,30.83005
85.88,30.89941
85.87,30.94156
85.86,31.02612
85.85,31.03306
85.84,31.14296
85.82,31.18378
85.81,31.25527
85.8,31.32116
85.79,31.32249
85.78,31.49002
85.77,31.51163
85.76,31.5415
85.75,31.65061
85.74,31.69036
85.73,31.80373
85.72,31.80506
85.71,31.96165
85.7,31.97792
85.69,32.05075
85.68,32.07316
85.67,32.1041
85.66,32.15799
85.65,32.21827
85.64,32.35939
85.63,32.37059
85.62,32.37486
85.61,32.59041
85.6,32.60374
85.59,32.67684
85.58,32.80115
85.57,33.09885
85.56,33.09912
85.55,33.10205
85.54,33.23276
85.53,33.30266
85.52,33.30292
85.51,33.35174
85.5,33.36641
85.48,33.42537
85.47,33.54247
85.46,33.54461
85.45,33.56595
85.44,33.65585
85.43,33.67425
85.42,33.74414
85.41,33.81324
85.4,33.85432
85.39,33.92021
85.38,34.01144
85.37,34.0936
85.36,34.18723
85.35,34.29607
85.34,34.42118
85.32,34.42812
85.31,34.43559
85.3,34.4684
85.29,34.48494
85.28,34.53909
85.26,34.67087
85.25,34.81385
85.24,34.86641
85.23,34.94884
85.22,34.99872
85.21,35.04994
85.2,35.18919
85.19,35.3127
85.18,35.40446
85.17,35.40606
85.16,35.40846
85.15,35.49143
85.14,35.57679
85.13,35.61654
85.12,35.66349
85.11,35.81981
85.1,35.9033
85.09,35.9964
85.08,36.03055
85.07,36.10204
85.06,36.16606
85.05,36.25169
85.04,36.36854
85.03,36.43256
85.02,36.52966
85.01,36.56887
85,36.72546
84.99,36.77108
84.98,36.79855
84.97,36.8311
84.96,36.9306
84.95,36.93273
84.94,36.99516
84.93,36.99569
84.92,37.09679
84.91,37.09706
84.9,37.1072
84.89,37.12934
84.88,37.16668
84.87,37.17122
84.86,37.24751
84.85,37.27632
84.84,37.311
84.83,37.36569
84.82,37.43158
84.81,37.48306
84.8,37.53268
84.79,37.55829
84.78,37.62925
84.77,37.76263
84.76,37.82185
84.75,37.82878
84.74,37.86826
84.73,37.93735
84.72,38.01712
84.71,38.05633
84.7,38.10808
84.69,38.15636
84.68,38.25293
84.67,38.32469
84.66,38.48635
84.65,38.55704
84.64,38.70829
84.63,38.71389
84.62,38.82193
84.61,38.85234
84.6,38.85341
84.59,38.85501
84.58,38.93317
84.57,38.94117
84.56,38.98866
84.55,39.13751
84.54,39.19406
84.53,39.37413
84.52,39.41494
84.51,39.48777
84.5,39.53152
84.49,39.53578
84.48,39.54565
84.47,39.56113
84.46,39.57286
84.45,39.74519
84.44,39.81722
84.43,39.86897
84.42,39.92019
84.41,40.10052
84.4,40.19628
84.39,40.21922
84.38,40.24377
84.37,40.2555
84.36,40.36888
