wpm,pctl
210.3,0.1264445
210.29,0.1267113
210.26,0.1280451
210.24,0.1283118
210.11,0.1285786
210.01,0.1288454
209.6,0.1299124
209.59,0.1304459
209.58,0.1307127
209.57,0.1320465
209.56,0.1328468
209.54,0.1331135
209.53,0.133647
209.52,0.1339138
209.51,0.1341806
209.49,0.1347141
209.48,0.1349808
209.46,0.1363146
209.45,0.1365814
209.32,0.1368482
208.8,0.1376485
208.79,0.1379152
208.78,0.139249
208.77,0.1413831
208.76,0.1419166
208.75,0.1421834
208.74,0.1429837
208.72,0.1435172
208.71,0.1437839
208.68,0.1445842
208.66,0.145918
208.65,0.1461848
208.64,0.1464516
208.59,0.1467183
208.52,0.1472518
208.11,0.1475186
208,0.150453
207.98,0.15152
207.97,0.1520535
207.96,0.1531206
207.95,0.1539208
207.94,0.1547211
207.93,0.1555214
207.92,0.1560549
207.91,0.1565885
207.88,0.1568552
207.86,0.1584558
207.83,0.1587225
207.72,0.1589893
207.2,0.1611234
207.19,0.1616569
207.18,0.1627239
207.17,0.1629907
207.16,0.1635242
207.15,0.1643245
207.14,0.1645913
207.13,0.1656583
207.12,0.1661918
207.1,0.1667254
207.09,0.1669921
207.06,0.1680592
207.05,0.1683259
206.85,0.1685927
206.4,0.1696597
206.39,0.1709935
206.38,0.1728608
206.37,0.1731276
206.36,0.1733944
206.34,0.1744614
206.33,0.1757952
206.31,0.1763287
206.3,0.1765955
206.28,0.1768623
206.26,0.1776625
206.22,0.1779293
206.13,0.1781961
206.12,0.1784628
206.1,0.1787296
206.06,0.1789963
205.6,0.1829977
205.59,0.1840648
205.58,0.1845983
205.57,0.1851318
205.56,0.1861989
205.55,0.1875327
205.53,0.1885997
205.52,0.1891332
205.5,0.1894
205.48,0.1896668
205.46,0.1910006
205.38,0.1912673
205.19,0.1915341
204.8,0.1934014
204.79,0.1939349
204.78,0.1952687
204.77,0.1963358
204.76,0.1971361
204.75,0.1984699
204.74,0.1987366
204.73,0.1995369
204.72,0.1998037
204.71,0.2003372
204.7,0.2006039
204.69,0.2011375
204.68,0.2014042
204.66,0.2035383
204.59,0.2038051
204.54,0.2040718
204.49,0.2043386
204.44,0.2046054
204,0.2078065
203.99,0.2091403
203.98,0.2104741
203.97,0.2118079
203.96,0.2126082
203.95,0.2134085
203.93,0.2136752
203.92,0.213942
203.91,0.2144755
203.86,0.2147423
203.85,0.215009
203.81,0.2152758
203.73,0.2155425
203.59,0.2158093
203.2,0.2187437
203.19,0.2192772
203.18,0.2195439
203.17,0.2200775
203.16,0.2214113
203.15,0.2219448
203.14,0.2227451
203.13,0.2235454
203.12,0.2238121
203.11,0.2246124
203.1,0.2248792
203.09,0.2251459
203.08,0.2254127
203.06,0.2288806
