consistency,pctl
88.3,0.3446894
88.29,0.3464648
88.28,0.3484939
88.27,0.3500157
88.26,0.3530593
88.25,0.3555957
88.24,0.3578784
88.23,0.3601611
88.22,0.3632047
88.21,0.3672629
88.2,0.371321
88.19,0.3746183
88.18,0.3761401
88.17,0.3814664
88.16,0.3832419
88.15,0.3855246
88.14,0.3885682
88.13,0.3911045
88.12,0.39567
88.11,0.3966845
88.1,0.4012499
88.09,0.4065762
88.08,0.4101271
88.07,0.413678
88.06,0.4179898
88.05,0.421287
88.04,0.4230625
88.03,0.4255988
88.02,0.4299106
88.01,0.4319397
88,0.4359978
87.99,0.4403096
87.98,0.4438605
87.97,0.4466505
87.96,0.4507087
87.95,0.4522305
87.94,0.4570495
87.93,0.460854
87.92,0.4638977
87.91,0.4659267
87.9,0.4684631
87.89,0.4712531
87.88,0.4742967
87.87,0.4801303
87.86,0.4829202
87.85,0.4874857
87.84,0.4925584
87.83,0.4963629
87.82,0.5001674
87.81,0.5024501
87.8,0.5054937
87.79,0.5075228
87.78,0.5110737
87.77,0.5161464
87.76,0.5184291
87.75,0.5224872
87.74,0.5260381
87.73,0.5306035
87.72,0.5354226
87.71,0.5384662
87.7,0.5440462
87.69,0.5486116
87.68,0.5519089
87.67,0.5564743
87.66,0.561547
87.65,0.5666197
87.64,0.5699169
87.63,0.5729605
87.62,0.5760041
87.61,0.5800623
87.6,0.5838668
87.59,0.5871641
87.58,0.5909686
87.57,0.5945195
87.56,0.6003531
87.55,0.6049185
87.54,0.6089766
87.53,0.6130348
87.52,0.6160784
87.51,0.6203902
87.5,0.6254629
87.49,0.6290138
87.48,0.6318037
87.47,0.6361155
87.46,0.6404273
87.45,0.6437246
87.44,0.6472755
87.43,0.65108
87.42,0.6576745
87.41,0.6617326
87.4,0.6688344
87.39,0.6726389
87.38,0.6766971
87.37,0.6799943
87.36,0.685067
87.35,0.6901397
87.34,0.6944515
87.33,0.6977487
87.32,0.7033287
87.31,0.7061187
87.3,0.7116986
87.29,0.717025
87.28,0.7203222
87.27,0.7238731
87.26,0.7286922
87.25,0.735033
87.24,0.7413739
87.23,0.7464466
87.22,0.7535483
87.21,0.7591283
87.2,0.7621719
87.19,0.766991
87.18,0.7728246
87.17,0.7781509
87.16,0.7837309
87.15,0.7921008
87.14,0.7956517
87.13,0.8030071
87.12,0.8098552
87.11,0.8128988
87.1,0.8189861
87.09,0.8240588
87.08,0.8291315
87.07,0.8354723
87.06,0.8407986
87.05,0.8448568
87.04,0.8511977
87.03,0.8555095
87.02,0.8610894
87.01,0.8643867
87,0.8717421
86.99,0.877322
86.98,0.8834093
86.97,0.8872138
86.96,0.8925401
86.95,0.8993882
86.94,0.9069973
86.93,0.9113091
86.92,0.9166354
86.91,0.9206935
86.9,0.9255126
86.89,0.9313462
86.88,0.9371798
86.87,0.9402234
86.86,0.9435207
86.85,0.9506224
86.84,0.9567096
86.83,0.9633041
86.82,0.9704059
86.81,0.9777613
86.8,0.9830876
86.79,0.9899358
86.78,0.9977985
86.77,1.001857
86.76,1.006929
86.75,1.017836
86.74,1.021386
86.73,1.026459
86.72,1.031278
86.71,1.034322
86.7,1.039395
86.69,1.045228
86.68,1.050301
86.67,1.058924
86.66,1.067041
86.65,1.072874
86.64,1.078201
86.63,1.087078
86.62,1.095701
86.61,1.10052
86.6,1.109398
86.59,1.118275
86.58,1.124616
86.57,1.128928
86.56,1.136537
86.55,1.143385
86.54,1.146428
86.53,1.155559
86.52,1.160632
86.51,1.166465
86.5,1.176104
86.49,1.18422
86.48,1.190053
86.47,1.197155
86.46,1.205525
86.45,1.213895
86.44,1.219982
86.43,1.223533
86.42,1.229874
86.41,1.237483
86.4,1.241034
86.39,1.250165
86.38,1.259549
86.37,1.267412
86.36,1.274767
86.35,1.284659
86.34,1.293029
86.33,1.299624
86.32,1.307233
86.31,1.315095
86.3,1.321943
86.29,1.330567
86.28,1.337162
86.27,1.342488
86.26,1.353648
86.25,1.360496
86.24,1.368612
86.23,1.375968
86.22,1.385859
86.21,1.39499
86.2,1.400317
86.19,1.408179
86.18,1.416296
86.17,1.422383
86.16,1.429992
86.15,1.435572
86.14,1.443181
86.13,1.451551
86.12,1.457892
86.11,1.468544
86.1,1.474885
86.09,1.483762
86.08,1.493654
86.07,1.499995
86.06,1.508365
86.05,1.516481
86.04,1.526373
86.03,1.536772
86.02,1.542606
86.01,1.552751
86,1.562389
85.99,1.570252
85.98,1.579383
85.97,1.585216
85.96,1.590542
85.95,1.597137
85.94,1.605
85.93,1.612609
85.92,1.619457
85.91,1.629856
85.9,1.637719
85.89,1.648118
85.88,1.65598
85.87,1.662321
85.86,1.669169
85.85,1.674496
85.84,1.682865
85.83,1.68946
