delta,pctl
98.78332,0.0002536346
98.78306,0.0005072692
98.78281,0.0007609038
98.7823,0.001268173
98.78154,0.001521808
98.779,0.001775442
98.7785,0.002282711
98.77698,0.002536346
98.77647,0.00278998
98.77545,0.003043615
98.77444,0.00329725
98.77216,0.004058153
98.77139,0.004565423
98.77013,0.004819057
98.76556,0.005072692
98.76252,0.005326326
98.76023,0.005579961
98.75542,0.005833595
98.75465,0.00608723
98.74908,0.006594499
98.74603,0.006848134
98.74324,0.007101768
98.73842,0.007355403
98.73386,0.007609038
98.72118,0.008369941
98.71813,0.00887721
98.71179,0.009130845
98.7085,0.00938448
98.70063,0.009638114
98.69632,0.009891749
98.6811,0.01014538
98.67527,0.01065265
98.66005,0.01090629
98.65346,0.01192083
98.64077,0.01217446
98.63113,0.01242809
98.61719,0.01293536
98.60831,0.01369627
98.6012,0.01420354
98.59461,0.01496444
98.58447,0.01521808
98.56823,0.01572534
98.55225,0.01623261
98.5416,0.01648625
98.53146,0.01673988
98.53044,0.01724715
98.51979,0.01800806
98.50939,0.01826169
98.50026,0.01851532
98.49873,0.01876896
98.48961,0.01902259
98.46754,0.01927623
98.43431,0.01952986
98.42011,0.02003713
98.41808,0.02105167
98.40337,0.02130531
98.3879,0.02181257
98.37167,0.02206621
98.35594,0.02257348
98.343,0.02308075
98.33945,0.02333438
98.32145,0.02358802
98.30978,0.02409529
98.30547,0.02434892
98.28949,0.02460255
98.28721,0.02510982
98.27046,0.02536346
98.2659,0.02561709
98.24612,0.02612436
98.22988,0.02688527
98.20858,0.0271389
98.20376,0.02739254
98.18271,0.0278998
98.16622,0.02815344
98.16191,0.02866071
98.14492,0.02891434
98.13071,0.02916798
98.1302,0.02942161
98.1264,0.02967525
98.10433,0.03018252
98.08836,0.03068978
98.06806,0.03094342
98.06426,0.03195796
98.00846,0.03221159
97.98107,0.03322613
97.95951,0.03398703
97.95317,0.03474794
97.93009,0.03550884
97.92476,0.03626975
97.90016,0.03652338
97.89433,0.03728428
97.83523,0.03880609
97.80048,0.03931336
97.76852,0.039567
97.73708,0.04058153
97.7079,0.04083517
97.70715,0.04134244
97.69878,0.04210334
97.67214,0.04235698
97.66402,0.04311788
97.62827,0.04413242
97.59047,0.04590786
97.56054,0.04616149
97.54989,0.04641513
97.50753,0.0476833
97.47887,0.04793694
97.46796,0.04869784
97.43702,0.04895147
97.42789,0.05047328
97.39391,0.05072692
97.38198,0.05148782
97.34166,0.05224872
97.33379,0.05300963
97.30564,0.0535169
97.29169,0.05453144
97.25821,0.05478507
97.25796,0.0550387
97.24502,0.05681415
97.20926,0.05706778
97.1981,0.05757505
97.1669,0.05833595
97.1565,0.05935049
97.11897,0.05960413
97.10527,0.0608723
97.05733,0.06188684
97.01979,0.06214047
97.00787,0.06315501
96.96907,0.06340865
96.95943,0.06569136
96.92468,0.06619863
96.90896,0.0667059
96.84859,0.06898861
96.80167,0.06949588
96.78645,0.07152495
96.74004,0.07228586
96.71315,0.07304676
96.68043,0.07355403
96.67764,0.0748222
96.6538,0.07634401
96.61575,0.07659764
96.61449,0.07735855
96.58988,0.07862672
96.55083,0.07888036
96.5313,0.08116307
96.48767,0.08192397
96.46535,0.08319214
96.42375,0.08496759
96.39256,0.08572849
96.34893,0.0872503
96.32331,0.0887721
96.2873,0.08902574
96.28476,0.09029391
96.25636,0.09130845
96.21653,0.09156208
96.214,0.09206935
96.18432,0.09359116
96.14856,0.0938448
96.14703,0.09511297
96.12244,0.0953666
96.08515,0.09562024
96.08287,0.09612751
96.05497,0.09739568
96.01337,0.09764931
96.0121,0.09942476
95.98775,0.09993203
95.94565,0.1014538
95.91496,0.1022147
95.87235,0.1024684
95.87109,0.1037365
95.82999,0.1060193
95.78459,0.1070338
95.75594,0.1085556
95.71307,0.1093165
95.67883,0.1115992
95.63343,0.1118529
95.63114,0.113121
95.59513,0.1154037
95.54542,0.1156574
95.54491,0.115911
95.54288,0.1166719
95.51193,0.1174328
95.46932,0.1176864
95.4678,0.1194619
95.43204,0.1217446
95.38816,0.1225055
95.34758,0.1240273
95.30472,0.1258028
95.26414,0.1265637
95.22178,0.1275782
95.18526,0.1291
95.1358,0.1298609
95.09623,0.1308754
95.04778,0.1321436
95.00948,0.1339191
94.9585,0.1341727
94.95699,0.1369627
94.91843,0.1379772
94.86644,0.1397527
94.82661,0.1412745
94.76727,0.1415281
94.72592,0.1427963
94.67165,0.1440644
94.63258,0.1448253
94.58059,0.1463472
94.53976,0.1476153
94.48878,0.1483762
94.48497,0.149898
94.44236,0.1511662
94.39619,0.1516735
94.35384,0.1539562
94.29195,0.1559853
94.24731,0.1575071
94.19151,0.158268
94.13927,0.1595362
94.09235,0.1600434
94.08169,0.161058
94.0652,0.1613116
94.06318,0.1615652
94.05328,0.1618189
94.03122,0.1633407
94.03071,0.1635943
94.02843,0.1638479
94.01929,0.1643552
94.01701,0.1656234
94.01295,0.165877
94.0051,0.1666379
94.00408,0.1676525
94.00027,0.1679061
93.99773,0.1681597
93.98911,0.1696815
93.98683,0.1701888
93.98582,0.1704424
93.98531,0.1709497
93.97694,0.1712033
93.97517,0.1722179
93.9744,0.1729788
93.97415,0.1732324
93.97364,0.1734861
93.97339,0.1745006
93.97237,0.1747542
93.97009,0.1755151
93.96883,0.176276
93.96832,0.1765297
93.9673,0.1767833
93.964,0.1772906
93.96299,0.1780515
93.96071,0.1795733
93.95715,0.1808415
93.95589,0.1821096
93.95158,0.1828705
93.94675,0.1831242
93.9465,0.1833778
93.93788,0.1843923
93.93281,0.1851532
93.92925,0.1854069
93.929,0.1856605
93.92647,0.1861678
93.92444,0.1879432
93.92291,0.1899723
93.92114,0.1907332
93.91885,0.1909868
93.91759,0.1912405
93.91556,0.1925086
93.91454,0.1937768
93.90466,0.1940305
93.89603,0.1945377
93.88284,0.1960595
93.86686,0.1968204
93.8661,0.1985959
93.86128,0.1993568
93.86103,0.1998641
93.86002,0.2001177
93.85672,0.200625
93.85494,0.2008786
93.85114,0.2011322
93.85088,0.2013859
93.84987,0.2018931
93.84911,0.2021468
93.84632,0.2024004
93.8448,0.2031613
93.83566,0.2041758
93.82882,0.2049367
93.82019,0.2051904
93.81639,0.2062049
93.8136,0.2072195
93.80878,0.2074731
93.79838,0.2077267
93.7961,0.208234
93.79077,0.2084876
93.78976,0.2107703
93.77149,0.2122921
93.76921,0.2127994
93.76287,0.2133067
93.76211,0.2135603
93.75704,0.2145749
93.75044,0.215843
93.73979,0.2160967
93.73447,0.2171112
93.72584,0.2178721
93.71595,0.2181257
93.7157,0.2183794
93.71062,0.218633
93.71037,0.2193939
93.70961,0.2206621
93.7091,0.2211694
93.70808,0.2221839
93.68678,0.2229448
93.68577,0.2239593
93.67816,0.2244666
93.67283,0.2247202
93.66725,0.2249739
93.64772,0.2272566
93.64519,0.2275102
93.64468,0.2277639
93.64417,0.2287784
93.63783,0.2295393
93.62769,0.2297929
93.61298,0.2300466
93.61221,0.2310611
93.61095,0.2313147
93.60714,0.231822
93.59902,0.2335975
93.57544,0.2338511
93.57417,0.2351193
93.57366,0.2358802
93.56072,0.2361338
93.54576,0.2366411
93.54449,0.237402
93.54221,0.2379092
93.5417,0.2381629
93.53967,0.2399383
93.52648,0.240192
93.52268,0.2404456
93.50721,0.2409529
93.49326,0.2412065
93.49149,0.2434892
93.4826,0.2442501
93.45039,0.2445037
93.44304,0.245011
