raw,pctl
215.97,0.1187085
215.96,0.119242
215.94,0.1197755
215.93,0.1200423
215.92,0.120309
215.91,0.1208425
215.89,0.1211093
215.86,0.1227099
215.2,0.1235101
215.19,0.1243104
215.17,0.1251107
215.16,0.1253775
215.14,0.1261777
215.13,0.1267113
215.11,0.126978
215.06,0.1275116
215.05,0.1277783
214.94,0.1280451
214.4,0.1293789
214.39,0.1299124
214.38,0.1301792
214.37,0.1312462
214.36,0.1317797
214.35,0.13258
214.31,0.1331135
214.29,0.1333803
214.27,0.133647
214.26,0.1341806
213.6,0.1352476
213.59,0.1357811
213.58,0.1360479
213.57,0.1376485
213.56,0.1379152
213.54,0.1384487
213.52,0.139249
213.51,0.1403161
213.5,0.1408496
213.49,0.1416499
213.48,0.1419166
213.46,0.1424501
213.44,0.1427169
213.32,0.1429837
213.17,0.1432504
212.8,0.1456513
212.79,0.1461848
212.78,0.1467183
212.77,0.1472518
212.76,0.1480521
212.75,0.1488524
212.74,0.1491192
212.73,0.1496527
212.72,0.1501862
212.71,0.15152
212.7,0.1517868
212.69,0.1520535
212.68,0.1523203
212.66,0.1533873
212.64,0.1536541
212.38,0.1539208
212,0.1555214
211.99,0.1557882
211.98,0.1568552
211.97,0.157122
211.96,0.1579223
211.95,0.158189
211.94,0.1587225
211.93,0.1600563
211.92,0.1605899
211.86,0.1613901
211.83,0.1616569
211.82,0.1619237
211.72,0.1621904
211.2,0.1645913
211.19,0.1653916
211.18,0.1667254
211.17,0.1675256
211.16,0.1685927
211.15,0.1688594
211.14,0.169393
211.13,0.1699265
211.12,0.1707268
211.1,0.1709935
211.08,0.1712603
211.06,0.1717938
210.97,0.1720606
210.92,0.1723273
210.85,0.1725941
210.83,0.1728608
210.4,0.1744614
210.39,0.1752617
210.38,0.1757952
210.37,0.177129
210.34,0.1776625
210.33,0.1784628
210.32,0.1792631
210.31,0.1797966
210.3,0.1800634
210.29,0.1803301
210.26,0.1813972
210.23,0.1816639
210.12,0.1821975
210.11,0.1824642
210.01,0.182731
209.98,0.1829977
209.6,0.1848651
209.59,0.1851318
209.58,0.1856654
209.57,0.1869992
209.56,0.1875327
209.55,0.1880662
209.54,0.1885997
209.53,0.1888665
209.51,0.1894
209.5,0.1896668
209.49,0.1899335
209.48,0.1902003
209.46,0.1918008
209.31,0.1920676
208.8,0.1926011
208.79,0.1947352
208.78,0.1958023
208.77,0.1966025
208.76,0.1968693
208.75,0.1979363
208.74,0.1990034
208.73,0.1992701
208.72,0.1995369
208.7,0.1998037
208.68,0.2006039
208.67,0.2008707
208.66,0.2024713
208.65,0.202738
208.64,0.2030048
208.58,0.2032716
208.52,0.2038051
208.11,0.2040718
208,0.2059392
207.99,0.2062059
207.98,0.2075397
207.97,0.20834
207.96,0.2102073
207.95,0.2112744
207.94,0.2118079
207.93,0.2120747
207.92,0.2128749
207.91,0.2134085
207.89,0.2136752
207.86,0.2160761
207.83,0.2163428
207.81,0.2166096
207.72,0.2171431
207.58,0.2176766
207.38,0.2179434
207.2,0.2192772
207.19,0.2200775
207.18,0.2214113
207.17,0.2222116
207.16,0.2227451
207.15,0.2235454
207.14,0.2238121
207.13,0.2246124
207.12,0.2248792
207.1,0.2251459
207.09,0.2256794
207.08,0.2259462
207.06,0.2275468
207.05,0.2278135
206.4,0.2302144
206.39,0.2315482
206.38,0.232882
206.37,0.233949
206.36,0.2352828
206.35,0.2355496
206.34,0.2363499
206.33,0.2368834
206.32,0.2371501
206.31,0.2374169
206.3,0.2379504
206.29,0.2382172
206.28,0.2384839
206.26,0.2392842
206.22,0.2400845
206.12,0.2403513
206.06,0.240618
205.99,0.2408848
205.61,0.2411516
205.6,0.2448862
205.59,0.2454197
205.58,0.2470203
205.57,0.2478206
205.56,0.2486208
205.55,0.2494211
205.54,0.2496879
205.53,0.2502214
205.52,0.2507549
205.51,0.2510217
205.5,0.2512885
205.47,0.2515552
205.46,0.252889
205.43,0.2531558
205.38,0.2536893
205.36,0.2539561
205.33,0.2542228
205.3,0.2544896
204.8,0.2571572
204.79,0.2582242
204.78,0.2587577
204.77,0.2603583
204.76,0.2616921
204.75,0.2630259
204.74,0.2635594
204.73,0.2638262
204.72,0.264093
204.71,0.2648932
204.7,0.2654268
204.69,0.2659603
204.68,0.266227
204.66,0.2688947
204.65,0.2691614
204.62,0.2694282
204.58,0.2699617
204.54,0.2702285
204.49,0.2704952
204,0.2744966
203.99,0.2755637
203.98,0.2768975
203.97,0.2792983
203.96,0.2808989
203.95,0.2814324
203.93,0.2822327
203.92,0.2824994
203.91,0.2827662
203.88,0.2832997
203.86,0.2854338
203.85,0.2862341
203.84,0.2867676
203.81,0.2873011
203.8,0.2875679
203.79,0.2878347
203.78,0.2881014
203.74,0.2883682
203.46,0.2886349
203.2,0.2910358
203.19,0.2923696
203.18,0.2929031
203.17,0.2939701
203.15,0.2942369
203.14,0.2947704
203.13,0.2953039
203.12,0.2958375
203.11,0.2969045
203.09,0.297438
203.07,0.2979716
203.06,0.301973
203.05,0.3025065
203.02,0.3027732
203,0.3033068
202.8,0.3035735
202.41,0.3038403
202.4,0.3083752
202.39,0.3105093
202.38,0.3113096
202.37,0.3121099
202.36,0.3129101
202.35,0.3158445
202.34,0.3161113
202.33,0.3166448
202.32,0.3174451
202.31,0.3177118
202.29,0.3187789
202.28,0.3190456
202.27,0.32198
202.23,0.3225135
202.22,0.3227803
202.21,0.323047
202.2,0.3233138
202.15,0.3238473
202.14,0.3241141
201.9,0.3243808
201.89,0.3246476
201.78,0.3249144
201.6,0.3278487
201.59,0.3302496
201.58,0.3313166
201.57,0.3337175
201.56,0.3350513
201.55,0.335318
201.54,0.3358516
201.53,0.3363851
201.52,0.3366518
201.51,0.3377189
201.5,0.3379856
201.48,0.3390527
201.47,0.3401197
201.46,0.3406532
201.45,0.34092
201.44,0.3414535
201.43,0.3417203
201.42,0.341987
201.41,0.3422538
201.4,0.3425206
201.38,0.3427873
201.36,0.3430541
201.26,0.3433208
200.93,0.3435876
200.8,0.3491896
200.79,0.3513237
200.78,0.3518572
200.77,0.3534578
200.76,0.354258
200.75,0.3553251
200.74,0.3558586
200.73,0.3569256
200.72,0.3579927
200.71,0.3590597
200.68,0.3593265
200.67,0.3614606
200.65,0.3617273
200.64,0.3619941
200.63,0.3622608
200.6,0.3625276
200.59,0.3627944
200.53,0.3635947
200.49,0.3638614
200.44,0.3641282
200,0.3673293
199.99,0.3697301
199.98,0.3713307
199.97,0.3734648
199.96,0.3745318
199.95,0.3755989
199.94,0.3769327
199.93,0.3785332
199.91,0.3801338
199.9,0.3804006
199.88,0.3812008
199.87,0.3841352
199.83,0.384402
199.8,0.3849355
199.78,0.3852023
199.77,0.3857358
199.76,0.3860025
199.73,0.3868028
199.6,0.3870696
199.47,0.3873363
199.4,0.3876031
199.2,0.3905375
199.19,0.3932051
199.18,0.3953392
199.17,0.3985403
199.16,0.3996073
199.15,0.4004076
199.14,0.4014747
199.13,0.4020082
199.12,0.4030752
199.11,0.403342
199.09,0.4041423
199.07,0.4076101
199.05,0.4078769
199.04,0.4081437
199.03,0.4084104
198.98,0.4086772
198.93,0.4092107
198.4,0.4129454
198.39,0.4145459
198.38,0.4172135
198.37,0.4185473
198.36,0.4198811
198.35,0.4217485
198.34,0.4225487
198.33,0.4230823
198.32,0.423349
198.31,0.4236158
198.29,0.4241493
198.27,0.4281507
198.25,0.4284175
198.22,0.4286842
198.21,0.4292178
198.06,0.4294845
198,0.4297513
197.74,0.430018
197.73,0.4302848
197.6,0.4337527
197.59,0.4353532
197.58,0.4374873
197.57,0.4382876
197.56,0.4401549
197.55,0.4406885
197.54,0.441222
197.53,0.4420223
197.5,0.442289
197.47,0.4462904
197.46,0.4468239
197.45,0.4470907
197.44,0.4476242
197.42,0.447891
197.41,0.4481578
197.38,0.4484245
197.37,0.4486913
197.34,0.448958
197.3,0.4492248
196.8,0.4516256
196.79,0.4542932
196.78,0.4564273
196.77,0.4593617
196.76,0.4606955
196.75,0.461229
196.74,0.4620293
196.73,0.4633631
196.72,0.4644301
196.71,0.4649637
196.68,0.4654972
196.67,0.4681648
196.64,0.4686983
196.63,0.4689651
196.62,0.4692318
196.61,0.4694986
196.6,0.4700321
196.54,0.4705656
196.53,0.4708324
196.51,0.4710992
196.5,0.4713659
196.02,0.4716327
196,0.4764344
195.99,0.4796355
195.98,0.4817696
195.97,0.4865713
195.96,0.486838
195.95,0.4887054
195.94,0.4892389
195.93,0.4900392
195.92,0.4905727
195.91,0.4911062
195.89,0.491373
195.87,0.4951076
195.86,0.4953744
195.84,0.4956411
195.81,0.4961747
195.79,0.4967082
195.74,0.4972417
195.69,0.4977752
195.68,0.498042
195.66,0.4983087
195.62,0.4985755
195.6,0.4988423
195.48,0.499109
195.39,0.4993758
195.2,0.5039107
195.19,0.5073786
195.18,0.5100462
195.17,0.512447
195.16,0.5143144
195.15,0.5156482
195.14,0.516982
195.13,0.5185825
195.12,0.5199163
195.11,0.5209834
195.1,0.5223172
195.09,0.5241845
195.08,0.5244513
195.07,0.5281859
195.06,0.5284527
195.02,0.5287194
195,0.5289862
194.98,0.529253
194.95,0.5295197
194.94,0.5297865
194.92,0.5300532
194.81,0.53032
194.7,0.5305868
194.4,0.5348549
194.39,0.5361887
194.38,0.5375225
194.37,0.5417907
194.36,0.5452586
194.35,0.5471259
194.34,0.5476594
194.33,0.548193
194.32,0.5505938
194.31,0.5519276
194.3,0.5524611
194.29,0.5527279
194.28,0.5537949
194.27,0.5583299
194.26,0.5585966
194.24,0.5588634
194.23,0.5591301
194.22,0.5596637
194.21,0.5599304
194.19,0.5604639
194.16,0.5607307
194.14,0.5612642
194.13,0.561531
193.63,0.5620645
193.6,0.5708676
193.59,0.5740687
193.58,0.5759361
193.57,0.5783369
193.56,0.581538
193.55,0.5839389
193.54,0.5863397
193.53,0.5868732
193.52,0.588207
193.51,0.5890073
193.5,0.5895409
193.49,0.5900744
193.48,0.5908747
193.47,0.5948761
193.46,0.5954096
193.45,0.5959431
193.44,0.5962099
193.43,0.5964766
193.42,0.5972769
193.4,0.5975437
193.39,0.5980772
193.37,0.598344
193.34,0.5988775
193.29,0.5991442
193.28,0.599411
192.8,0.6079473
192.79,0.6103482
192.78,0.6132825
192.77,0.6162169
192.76,0.619418
192.75,0.6210186
192.74,0.6226192
192.73,0.6228859
192.72,0.6236862
192.71,0.6244865
192.7,0.62502
192.69,0.626087
192.68,0.6271541
192.67,0.6311555
192.66,0.6314223
192.65,0.631689
192.63,0.6324893
192.61,0.6327561
192.5,0.6330228
192.47,0.6332896
192.38,0.6335563
192.29,0.6338231
192.01,0.6340899
192,0.6399586
191.99,0.6436932
191.98,0.6466276
191.97,0.6484949
191.96,0.6514293
191.95,0.6530299
191.94,0.6535634
191.93,0.6543637
191.92,0.6567645
191.91,0.6578316
191.9,0.6586318
191.89,0.6596989
191.88,0.6604992
191.87,0.6642338
191.85,0.6645006
191.84,0.6650341
191.83,0.6653009
191.82,0.6655676
191.81,0.6658344
191.79,0.6663679
191.77,0.6666347
191.72,0.6669014
191.69,0.6671682
191.62,0.6674349
191.2,0.6743707
191.19,0.6770383
191.18,0.6797059
191.17,0.6826403
191.16,0.6839741
191.15,0.6858414
191.14,0.6869085
191.13,0.6871752
191.12,0.6882423
191.11,0.6903763
191.1,0.6911766
191.09,0.6914434
191.07,0.6965118
191.04,0.6967786
191.03,0.6975789
191.02,0.6986459
191,0.6991794
190.98,0.6994462
190.95,0.6999797
190.93,0.7002465
190.89,0.7005132
190.87,0.70078
190.82,0.7010468
190.4,0.7101166
190.39,0.7125175
190.38,0.7146516
190.37,0.7170524
190.36,0.71972
190.35,0.7213206
190.34,0.7245217
190.32,0.725322
190.31,0.7258555
190.3,0.7261223
190.29,0.7266558
190.28,0.7271893
190.27,0.7306572
190.25,0.730924
190.24,0.7311907
190.23,0.7314575
190.22,0.7317242
190.21,0.7322578
190.18,0.7325245
190.16,0.7327913
190.15,0.733058
190.14,0.7333248
190.09,0.7335916
190.06,0.7341251
190.05,0.7343918
189.92,0.7346586
189.89,0.7349254
189.61,0.7351921
189.6,0.7402606
189.59,0.744262
189.58,0.7463961
189.57,0.7485301
189.56,0.749864
189.55,0.7541321
189.54,0.7562662
189.53,0.7573332
189.52,0.7581335
189.51,0.7594673
189.5,0.7608011
189.49,0.7616014
189.47,0.7666699
189.45,0.7669366
189.44,0.7674701
189.43,0.7680037
189.42,0.7685372
189.41,0.7693375
189.4,0.7696042
189.36,0.769871
189.35,0.7701378
189.3,0.7706713
189.22,0.7712048
189.2,0.7714716
188.92,0.7717383
188.81,0.7722718
