acc,pctl
100,41.96064
99.68,41.9609
99.67,41.96144
99.66,41.9617
99.65,41.96224
99.64,41.96304
99.63,41.96464
99.62,41.96757
99.61,41.97157
99.6,41.97878
99.59,41.99051
99.58,42.00065
99.57,42.01826
99.56,42.04066
99.55,42.06147
99.54,42.08441
99.53,42.12389
99.52,42.16578
99.51,42.21833
99.5,42.27675
99.49,42.35544
99.48,42.44187
99.47,42.55258
99.46,42.64568
99.45,42.75745
99.44,42.92017
99.43,43.04689
99.42,43.20187
99.41,43.31711
99.4,43.50518
99.39,43.71752
99.38,43.93787
99.37,44.10913
99.36,44.28599
99.35,44.56315
99.34,44.74508
99.33,44.94542
99.32,45.26127
99.31,45.48188
99.3,45.72436
99.29,45.94764
99.28,46.19359
99.27,46.31844
99.26,46.57586
99.25,46.83035
99.24,47.12112
99.23,47.2657
99.22,47.56714
99.21,47.85925
99.2,48.01103
99.19,48.2842
99.18,48.42611
99.17,48.70434
99.16,48.84466
99.15,49.1397
99.14,49.28615
99.13,49.43447
99.12,49.73991
99.11,49.87542
99.1,50.02961
99.09,50.19127
99.08,50.35159
99.07,50.66984
99.06,50.82616
99.05,50.98621
99.04,51.14334
99.03,51.29832
99.02,51.45865
99.01,51.61817
99,51.76889
98.99,51.91828
98.98,52.08047
98.97,52.24772
98.96,52.42459
98.95,52.60518
98.94,52.76977
98.93,52.79485
98.92,52.96985
98.91,53.13657
98.9,53.31077
98.89,53.46255
98.88,53.64848
98.87,53.68877
98.86,53.88777
98.85,54.04142
98.84,54.23749
98.83,54.28978
98.82,54.48958
98.81,54.64777
98.8,54.86998
98.79,54.93507
98.78,55.1026
98.77,55.32774
98.76,55.39977
98.75,55.56463
98.74,55.64812
98.73,55.89167
98.72,56.07547
98.71,56.16991
98.7,56.34917
98.69,56.43933
98.68,56.70476
98.67,56.89043
98.66,56.98833
98.65,57.17319
98.64,57.28256
98.63,57.45756
98.62,57.58507
98.61,57.755
98.6,57.88891
98.59,58.07271
98.58,58.20902
98.57,58.39042
98.56,58.54007
98.55,58.72067
98.54,58.87486
98.53,59.06532
98.52,59.20431
98.51,59.42945
98.5,59.58391
98.49,59.60952
98.48,59.82959
98.47,59.99498
98.46,60.20653
98.45,60.38926
98.44,60.59733
98.43,60.75525
98.42,60.79233
98.41,60.9844
98.4,61.17407
98.39,61.3632
98.38,61.40215
98.37,61.57287
98.36,61.78441
98.35,61.95194
98.34,61.99382
98.33,62.22084
98.32,62.39183
98.31,62.65459
98.3,62.70474
98.29,62.876
98.28,63.10195
98.27,63.16117
98.26,63.3511
98.25,63.57625
98.24,63.6328
98.23,63.75417
98.22,63.8166
98.21,64.03641
98.2,64.22287
98.19,64.28316
98.18,64.50084
98.17,64.68704
98.16,64.74973
98.15,64.98287
98.14,65.06477
98.13,65.26777
98.12,65.27658
98.11,65.49986
98.1,65.71433
98.09,65.78476
98.08,66.02884
98.07,66.03711
98.06,66.24465
98.05,66.32575
98.04,66.5613
98.03,66.63732
98.02,66.77124
98.01,66.85633
98,67.07774
97.99,67.17351
97.98,67.30209
97.97,67.39386
97.96,67.623
97.95,67.71797
97.94,67.83961
97.93,67.93485
97.92,68.15092
97.91,68.16666
97.9,68.25229
97.89,68.47317
97.88,68.49078
97.87,68.72552
97.86,68.82503
97.85,68.94934
97.84,69.05417
97.83,69.27905
97.82,69.28119
97.81,69.39269
97.8,69.5178
97.79,69.62771
97.78,69.86699
97.77,69.887
97.76,69.9785
97.75,70.10148
97.74,70.22792
97.73,70.456
97.72,70.46027
97.71,70.57604
97.7,70.69982
97.69,70.81879
97.68,70.81906
97.67,71.04954
97.66,71.17519
97.65,71.29576
97.64,71.391
97.63,71.42941
97.62,71.6719
97.61,71.67936
97.6,71.81061
97.59,71.93492
97.58,72.06857
97.57,72.07497
97.56,72.29531
97.55,72.33746
97.54,72.43937
97.53,72.54687
97.52,72.67652
97.51,72.68612
97.5,72.9158
97.49,72.92674
97.48,73.05158
97.47,73.17269
97.46,73.28099
97.45,73.32768
97.44,73.55389
97.43,73.55442
97.42,73.60698
97.41,73.71075
97.4,73.83746
97.39,73.98231
97.38,73.99191
97.37,74.20959
97.36,74.21439
97.35,74.37658
97.34,74.38965
97.33,74.50729
97.32,74.64948
97.31,74.67188
97.3,74.89143
97.29,74.8957
97.28,74.95865
97.27,75.07016
97.26,75.17313
97.25,75.29104
97.24,75.36653
97.23,75.36786
97.22,75.60155
97.21,75.62502
97.2,75.77627
97.19,75.79575
97.18,75.92753
97.17,76.02623
97.16,76.10572
97.15,76.10652
97.14,76.34501
97.13,76.37382
97.12,76.52054
97.11,76.54268
97.1,76.65418
97.09,76.76275
97.08,76.84652
97.07,76.85452
97.06,77.0762
97.05,77.07753
97.04,77.16156
97.03,77.25813
97.02,77.28027
97.01,77.41338
97,77.50408
96.99,77.59425
96.98,77.60492
96.97,77.82659
96.96,77.82873
96.95,77.92743
96.94,78.0232
96.93,78.05681
96.92,78.16912
96.91,78.28382
96.9,78.33771
96.89,78.38012
96.88,78.5994
96.86,78.64395
96.85,78.69944
96.84,78.82908
96.83,78.93792
96.82,78.96833
96.81,79.05236
96.8,79.12065
96.79,79.16893
96.77,79.38154
96.76,79.40048
96.75,79.49011
96.74,79.57868
96.73,79.61442
96.72,79.72033
96.71,79.75687
96.7,79.84944
96.69,79.96015
96.68,79.96441
96.67,80.18022
96.65,80.20156
96.64,80.30027
96.63,80.3867
96.62,80.43151
96.61,80.54302
96.6,80.58517
96.59,80.66759
96.58,80.76416
96.57,80.78577
96.56,80.78657
96.55,81.00345
96.54,81.00531
96.53,81.06907
96.52,81.14083
96.51,81.22566
96.5,81.27127
96.49,81.37931
96.48,81.42226
96.47,81.50762
96.46,81.58125
96.45,81.64287
96.44,81.64474
96.43,81.85415
96.41,81.88216
96.4,81.99259
96.39,82.08436
96.38,82.12651
96.37,82.13424
96.36,82.23855
96.35,82.29003
96.34,82.38153
96.33,82.43755
96.32,82.51091
96.31,82.51331
96.3,82.72672
