diff,pctl
12.71,2.729494
12.7,2.729761
12.61,2.730028
12,2.993587
11.99,3.149108
11.98,3.17125
11.97,3.176585
11.96,3.177652
11.95,3.178185
11.94,3.178986
11.93,3.179252
11.4,3.179519
11.2,3.531643
11.19,3.714374
11.18,3.737849
11.17,3.745052
11.16,3.745585
11.15,3.746385
11.14,3.746652
11.1,3.747186
10.95,3.747452
10.83,3.747719
10.73,3.747986
10.41,3.748253
10.4,4.195343
10.39,4.424224
10.38,4.450633
10.37,4.454101
10.36,4.455435
10.35,4.456235
10.34,4.457036
10.33,4.457302
10.32,4.457836
10.29,4.458103
10.14,4.458369
10,4.458636
9.61,4.45917
9.6,5.020701
9.59,5.282126
9.58,5.305067
9.57,5.31147
9.56,5.313604
9.55,5.314137
9.54,5.314404
9.23,5.314671
9.15,5.314938
9.02,5.315204
8.83,5.315471
8.81,5.315738
8.8,5.98584
8.79,6.272608
8.78,6.296083
8.77,6.303285
8.76,6.304886
8.75,6.305686
8.72,6.305953
8.7,6.30622
8.68,6.306487
8.31,6.306753
8,7.033676
7.99,7.312707
7.98,7.331914
7.97,7.335115
7.96,7.336716
7.95,7.337249
7.94,7.337783
7.93,7.338316
7.91,7.33885
7.9,7.339117
7.76,7.339383
7.69,7.33965
7.58,7.339917
7.2,8.198886
7.19,8.493923
7.18,8.512863
7.17,8.516064
7.16,8.516598
7.15,8.516865
7.14,8.517398
7.09,8.517665
7.05,8.517932
7,8.518198
6.43,8.518465
6.41,8.518732
6.4,9.832528
6.39,10.19906
6.38,10.2164
6.37,10.22146
6.36,10.22226
6.35,10.2228
6.34,10.22307
6.32,10.22333
6.3,10.2236
6.22,10.22387
6.17,10.22413
6.12,10.2244
6.04,10.22467
6,10.22493
5.6,11.99782
5.59,12.44918
5.58,12.46572
5.57,12.47132
5.56,12.47266
5.55,12.47319
5.53,12.47399
5.52,12.47426
5.38,12.47452
4.8,15.51986
4.79,16.16329
4.78,16.18623
4.77,16.19103
4.76,16.19343
4.75,16.19423
4.73,16.1945
4.71,16.19477
4.69,16.19503
4.67,16.1953
4.66,16.19557
4.64,16.19583
4.54,16.1961
4.5,16.19637
4.03,16.19663
4.01,16.1969
4,20.12202
3.99,20.8372
3.98,20.85054
3.97,20.85427
3.96,20.85614
3.95,20.85694
3.94,20.85774
3.93,20.85828
3.92,20.85854
3.89,20.85908
3.86,20.85961
3.85,20.85988
3.8,20.86014
3.43,20.86041
3.21,20.86068
3.2,23.48987
3.19,23.85133
3.18,23.85693
3.17,23.8588
3.13,23.85933
3.12,23.8596
3.1,23.85987
3.09,23.86013
3.04,23.8604
3,23.86093
2.4,25.66637
2.39,25.8523
2.38,25.85363
2.36,25.8539
2.34,25.85417
2.27,25.85443
1.6,27.08233
1.59,27.16583
1.58,27.16636
1.56,27.1669
1.55,27.16716
0.8,28.29903
0.79,28.33344
0.77,28.33371
0.76,28.33397
0,100
