wpm,pctl
277.57,0.0002536346
269.79,0.0005072692
267.37,0.0007609038
265.6,0.001014538
258.79,0.001268173
256,0.001521808
254.8,0.001775442
250.19,0.002029077
248.98,0.002282711
247.39,0.002536346
247.35,0.00278998
245.99,0.003043615
245,0.00329725
243.8,0.003550884
242.76,0.003804519
240.6,0.004058153
237,0.004311788
234.58,0.004565423
234.18,0.004819057
232.6,0.005072692
232.18,0.005326326
231,0.005579961
230.19,0.005833595
229.39,0.00608723
229.16,0.006340865
229,0.006594499
228.97,0.006848134
228.39,0.007101768
226.8,0.007355403
226.78,0.007609038
225.98,0.007862672
225.59,0.008116307
225.33,0.008369941
223.97,0.008623576
223.8,0.00887721
222.39,0.009130845
222.18,0.00938448
222,0.009638114
221.78,0.009891749
221.75,0.01014538
221.59,0.01039902
221.19,0.01065265
221,0.01090629
220.2,0.01115992
220,0.01141356
218.49,0.01166719
218.19,0.01192083
217.82,0.01217446
217.2,0.01268173
217.16,0.01293536
216.91,0.013189
216.18,0.01344263
214.39,0.01369627
214.18,0.0139499
213.6,0.01445717
212.54,0.01471081
212.2,0.01521808
211.59,0.01547171
211.39,0.01572534
211.35,0.01597898
211.11,0.01623261
211,0.01648625
210.98,0.01699352
210.97,0.01724715
210.58,0.01750079
210.37,0.01775442
210.2,0.01826169
209.97,0.01876896
209.79,0.01902259
209.78,0.01927623
209.39,0.01952986
209.38,0.0197835
209.18,0.02003713
208.99,0.02029077
208.98,0.0205444
208.77,0.02079804
208.59,0.02105167
208,0.02130531
207.79,0.02155894
207.57,0.02206621
207.49,0.02231984
206.8,0.02257348
206.6,0.02282711
206.59,0.02308075
206.57,0.02333438
206.4,0.02358802
206.39,0.02409529
206.16,0.02434892
205.59,0.02460255
205.14,0.02485619
204.99,0.02510982
204.98,0.02536346
204.8,0.02561709
204.58,0.02587073
204,0.026378
203.97,0.02663163
203.79,0.02688527
203.77,0.0271389
203.59,0.02739254
203.2,0.0278998
203.19,0.02840707
203,0.02866071
202.99,0.02891434
202.97,0.02916798
202.77,0.02942161
202.59,0.02967525
202.4,0.03018252
202.38,0.03068978
202.18,0.03094342
201.99,0.03145069
201.8,0.03170432
201.6,0.03195796
201.55,0.03221159
201.4,0.03246523
201.38,0.03271886
201.2,0.03322613
201.19,0.0337334
201,0.0344943
200.99,0.03474794
200.98,0.03500157
200.96,0.03525521
200.8,0.03576248
200.79,0.03601611
200.6,0.03626975
200.59,0.03677701
200.58,0.03703065
200.57,0.03728428
200.39,0.03753792
200.2,0.03804519
200.17,0.03829882
200,0.03855246
199.97,0.03880609
199.6,0.03905973
199.4,0.03931336
199.38,0.039567
199.37,0.04007426
199.17,0.0403279
198.79,0.04058153
198.6,0.0410888
198.4,0.04134244
198.39,0.04159607
198.37,0.04184971
198.2,0.04210334
198.16,0.04235698
197.99,0.04261061
197.98,0.04311788
197.97,0.04337151
197.96,0.04362515
197.8,0.04387878
197.77,0.04413242
197.59,0.04438605
197.57,0.04463969
197.4,0.04489332
197.34,0.04514696
197.2,0.04540059
196.8,0.04565423
196.6,0.04641513
196.59,0.04666876
196.54,0.0469224
196.37,0.04717603
196.25,0.04742967
196.2,0.0476833
196.12,0.04793694
196,0.04819057
195.97,0.04844421
195.79,0.04895147
195.59,0.04920511
195.57,0.04945874
195.39,0.04996601
195.18,0.05047328
195,0.05123419
194.99,0.05148782
194.98,0.05174146
194.97,0.05199509
194.8,0.05250236
194.79,0.05275599
194.78,0.05300963
194.6,0.05326326
194.59,0.05377053
194.57,0.0542778
194.4,0.05453144
194.39,0.05478507
194.37,0.0550387
194.32,0.05529234
194.2,0.05554597
194.17,0.05579961
194,0.05605324
193.99,0.05630688
193.98,0.05656051
193.97,0.05706778
193.8,0.05732142
193.77,0.05782869
193.75,0.05808232
193.4,0.05833595
193.38,0.05858959
193.37,0.05909686
193.2,0.05985776
193.17,0.0601114
193.14,0.06036503
193,0.06061867
192.98,0.0608723
192.78,0.06112593
